Year,Code,Station name,Units,Observed conc,Modelled conc
2022,DE0002R,Waldhof,ng/m3,1.55,1.2
2022,DE0003R,N/A,ng/m3,1.18,1.17
2022,DE0009R,Zingst,ng/m3,1.4,1.26
2022,EE0009R,Lahemaa,ng/m3,1.08,1.21
2022,FI0027R,Virolahti Harju,ng/m3,1.12,1.18
2022,FI0050R,N/A,ng/m3,1.2,1.15
2022,GB0048R,Auchencorth Moss,ng/m3,1.25,1.18
2022,GB1055R,Chilbolton Observatory,ng/m3,1.38,1.24
2022,NO0042G,Zeppelin mountain,ng/m3,1.49,1.1
2022,NO0073U,Sofienbergparken,ng/m3,1.46,1.16
2022,PL0005R,Diabla Gora,ng/m3,N/A,1.16
2022,SE0014R,Rao,ng/m3,1.22,1.23
