Year,Code,Station name,Units,Observed conc,Modelled conc
2024,DE0002R,Waldhof,ng/m3,1.61,1.25
2024,DE0003R,N/A,ng/m3,1.27,1.23
2024,DE0009R,Zingst,ng/m3,1.48,1.31
2024,EE0009R,Lahemaa,ng/m3,1.13,1.27
2024,FI0027R,Virolahti Harju,ng/m3,1.19,1.24
2024,FI0050R,N/A,ng/m3,N/A,1.2
2024,GB0048R,Auchencorth Moss,ng/m3,1.32,1.24
2024,GB1055R,Chilbolton Observatory,ng/m3,1.45,1.3
2024,NO0042G,Zeppelin mountain,ng/m3,1.56,1.15
2024,NO0073U,Sofienbergparken,ng/m3,1.53,1.2
2024,PL0005R,Diabla Gora,ng/m3,1.4,1.21
2024,SE0014R,Rao,ng/m3,1.29,1.28
